OID_,Join_Count,TARGET_FID,Year,Quarter,EIN,Address,City,State,Zip,County,naics,GEOID,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,NAME,NAMELSAD,INTPTLAT,INTPTLON
117,1,117,2011.000000000000000,3.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
118,1,118,2011.000000000000000,3.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
119,1,119,2011.000000000000000,2.000000000000000,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
120,1,120,2011.000000000000000,3.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
121,1,121,2011.000000000000000,4.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
122,1,122,2011.000000000000000,3.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
123,1,123,2011.000000000000000,4.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
124,1,124,2011.000000000000000,4.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
125,1,125,2011.000000000000000,4.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
126,1,126,2011.000000000000000,3.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
127,1,127,2011.000000000000000,4.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
128,1,128,2012.000000000000000,1.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
129,1,129,2011.000000000000000,4.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
130,1,130,2011.000000000000000,4.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
131,1,131,2012.000000000000000,1.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
132,1,132,2011.000000000000000,4.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
133,1,133,2012.000000000000000,1.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
134,1,134,2012.000000000000000,1.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
135,1,135,2012.000000000000000,1.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
136,1,136,2012.000000000000000,1.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
137,1,137,2012.000000000000000,2.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
138,1,138,2012.000000000000000,1.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
139,1,139,2012.000000000000000,2.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
140,1,140,2012.000000000000000,1.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
141,1,141,2012.000000000000000,2.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
142,1,142,2012.000000000000000,2.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
143,1,143,2012.000000000000000,2.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
144,1,144,2012.000000000000000,3.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
145,1,145,2012.000000000000000,2.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
146,1,146,2012.000000000000000,2.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
147,1,147,2012.000000000000000,3.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
148,1,148,2012.000000000000000,2.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
149,1,149,2012.000000000000000,3.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
150,1,150,2012.000000000000000,3.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
151,1,151,2012.000000000000000,3.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
152,1,152,2012.000000000000000,3.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
153,1,153,2012.000000000000000,3.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
154,1,154,2012.000000000000000,4.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
155,1,155,2012.000000000000000,3.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
156,1,156,2012.000000000000000,4.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
157,1,157,2012.000000000000000,4.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
158,1,158,2012.000000000000000,4.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
159,1,159,2012.000000000000000,4.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
160,1,160,2012.000000000000000,4.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
161,1,161,2013.000000000000000,1.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
162,1,162,2012.000000000000000,4.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
163,1,163,2013.000000000000000,1.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
164,1,164,2012.000000000000000,4.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
165,1,165,2013.000000000000000,1.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
166,1,166,2013.000000000000000,1.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
167,1,167,2013.000000000000000,1.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
168,1,168,2013.000000000000000,1.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
169,1,169,2013.000000000000000,2.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
170,1,170,2013.000000000000000,1.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
171,1,171,2013.000000000000000,2.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
172,1,172,2013.000000000000000,1.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
173,1,173,2013.000000000000000,2.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
174,1,174,2013.000000000000000,2.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
175,1,175,2013.000000000000000,2.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
176,1,176,2013.000000000000000,2.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
177,1,177,2013.000000000000000,3.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
178,1,178,2013.000000000000000,2.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
179,1,179,2013.000000000000000,3.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
180,1,180,2013.000000000000000,2.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
181,1,181,2013.000000000000000,3.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
182,1,182,2013.000000000000000,3.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
183,1,183,2013.000000000000000,3.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
184,1,184,2013.000000000000000,4.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
185,1,185,2013.000000000000000,3.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
186,1,186,2013.000000000000000,3.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
187,1,187,2013.000000000000000,4.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
188,1,188,2013.000000000000000,3.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
189,1,189,2013.000000000000000,4.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
190,1,190,2013.000000000000000,4.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
191,1,191,2013.000000000000000,4.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
192,1,192,2013.000000000000000,4.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
193,1,193,2014.000000000000000,1.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
194,1,194,2014.000000000000000,1.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
195,1,195,2013.000000000000000,4.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
196,1,196,2014.000000000000000,1.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
197,1,197,2013.000000000000000,4.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
198,1,198,2014.000000000000000,1.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
199,1,199,2014.000000000000000,1.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
200,1,200,2014.000000000000000,2.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
201,1,201,2014.000000000000000,1.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
202,1,202,2014.000000000000000,1.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
203,1,203,2014.000000000000000,2.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
204,1,204,2014.000000000000000,2.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
205,1,205,2014.000000000000000,2.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
206,1,206,2014.000000000000000,1.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
207,1,207,2014.000000000000000,2.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
208,1,208,2014.000000000000000,2.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
209,1,209,2014.000000000000000,3.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
210,1,210,2014.000000000000000,2.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
211,1,211,2014.000000000000000,3.000000000000000,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61.000000000000000,622110.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
212,1,212,2014.000000000000000,2.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
213,1,213,2014.000000000000000,3.000000000000000,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
214,1,214,2014.000000000000000,3.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
215,1,215,2014.000000000000000,3.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
216,1,216,2014.000000000000000,4.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
217,1,217,2014.000000000000000,3.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
218,1,218,2014.000000000000000,3.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
219,1,219,2014.000000000000000,3.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
220,1,220,2014.000000000000000,4.000000000000000,310411980,5348 VINE ST,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
221,1,221,2014.000000000000000,4.000000000000000,310411980,700 WILMER AVE HANGER #51,CINCINNATI,OH,45226,61.000000000000000,551114.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
222,1,222,2014.000000000000000,4.000000000000000,310411980,8700 MASON MONTGOMERY RD,MASON,OH,45040,61.000000000000000,551114.000000000000000,3916521238,39,165,21238,01087112,Deerfield,Deerfield township,+39.3263007,-084.3008327
223,1,223,2014.000000000000000,4.000000000000000,310411980,8611 BECKETT RD,WEST CHESTER,OH,45069,61.000000000000000,551114.000000000000000,3901783150,39,017,83150,01085822,West Chester,West Chester township,+39.3381939,-084.4171035
224,1,224,2014.000000000000000,4.000000000000000,310411980,6250 CENTER HILL AVE,CINCINNATI,OH,45224,61.000000000000000,551114.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
225,1,225,2014.000000000000000,4.000000000000000,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
226,1,226,2014.000000000000000,4.000000000000000,310411980,11510 REED HARTMAN HWY,CINCINNATI,OH,45241,61.000000000000000,551114.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
227,1,227,2014.000000000000000,4.000000000000000,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61.000000000000000,611310.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
228,1,228,2015.000000000000000,1.000000000000000,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61.000000000000000,325611.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
229,1,229,2014.000000000000000,4.000000000000000,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25.000000000000000,611310.000000000000000,3902504157,39,025,04157,01085861,Batavia,Batavia township,+39.0633234,-084.1682386
230,1,230,2014.000000000000000,4.000000000000000,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61.000000000000000,611310.000000000000000,3906107300,39,061,07300,01086199,Blue Ash,Blue Ash city,+39.2460550,-084.3868450
231,1,231,2015.000000000000000,1.000000000000000,310411980,5348 VINE ST,CINCINNATI,OH,45217,61.000000000000000,551114.000000000000000,3906169470,39,061,69470,01086226,St. Bernard,St. Bernard village,+39.1717286,-084.4940878
232,1,232,2014.000000000000000,4.000000000000000,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61.000000000000000,611310.000000000000000,3906165732,39,061,65732,01086225,Reading,Reading city,+39.2242280,-084.4333429
233,1,233,2015.000000000000000,1.000000000000000,310411980,700 WILMER AVE HANGER #51,CINCINNATI,OH,45226,61.000000000000000,551114.000000000000000,3906115000,39,061,15000,01086201,Cincinnati,Cincinnati city,+39.1401830,-084.5058289
234,1,234,2015.000000000000000,1.000000000000000,310411980,8700 MASON MONTGOMERY RD,MASON,OH,45040,61.000000000000000,551114.000000000000000,3916521238,39,165,21238,01087112,Deerfield,Deerfield township,+39.3263007,-084.3008327
235,1,235,2015.000000000000000,1.000000000000000,310411980,8611 BECKETT RD,WEST CHESTER,OH,45069,61.000000000000000,551114.000000000000000,3901783150,39,017,83150,01085822,West Chester,West Chester township,+39.3381939,-084.4171035
