OID_,Year,Quarter,EIN,Address,City,State,Zip,County,naics,OBJECTID,Join_Count,TARGET_FID,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
105,2011,1,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,105,1,105,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
106,2011,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,106,1,106,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
107,2010,4,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,107,1,107,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
108,2011,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,108,1,108,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
109,2011,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,109,1,109,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
110,2011,2,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,110,1,110,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
111,2011,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,111,1,111,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
112,2011,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,112,1,112,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
113,2011,1,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,113,1,113,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
114,2011,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,114,1,114,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
115,2011,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,115,1,115,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
116,2011,3,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,116,1,116,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
117,2011,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,117,1,117,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
118,2011,2,316000989,9555 PLAINFIELD RD,CINCINNATI,OH,45326,61,611310,118,1,118,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
119,2011,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,119,1,119,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
120,2011,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,120,1,120,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
121,2011,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,121,1,121,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
122,2011,4,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,122,1,122,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
123,2011,3,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310,123,1,123,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
124,2011,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,124,1,124,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
125,2011,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,125,1,125,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
126,2011,3,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310,126,1,126,39,061,65732,01086225,3906165732,Reading,Reading city,25,C2,G4040, , , ,F,7483134.000000000000000,0.000000000000000,+39.2242280,-084.4333429
127,2011,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,127,1,127,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
128,2011,4,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310,128,1,128,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
129,2012,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,129,1,129,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
130,2011,4,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310,130,1,130,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
131,2011,4,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310,131,1,131,39,061,65732,01086225,3906165732,Reading,Reading city,25,C2,G4040, , , ,F,7483134.000000000000000,0.000000000000000,+39.2242280,-084.4333429
132,2012,1,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,132,1,132,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
133,2012,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,133,1,133,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
134,2012,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,134,1,134,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
135,2012,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,135,1,135,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
136,2012,1,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310,136,1,136,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
137,2012,1,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310,137,1,137,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
138,2012,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,138,1,138,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
139,2012,2,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,139,1,139,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
140,2012,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,140,1,140,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
141,2012,1,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310,141,1,141,39,061,65732,01086225,3906165732,Reading,Reading city,25,C2,G4040, , , ,F,7483134.000000000000000,0.000000000000000,+39.2242280,-084.4333429
142,2012,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,142,1,142,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
143,2012,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,143,1,143,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
144,2012,2,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310,144,1,144,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
145,2012,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,145,1,145,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
146,2012,2,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310,146,1,146,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
147,2012,2,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310,147,1,147,39,061,65732,01086225,3906165732,Reading,Reading city,25,C2,G4040, , , ,F,7483134.000000000000000,0.000000000000000,+39.2242280,-084.4333429
148,2012,3,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,148,1,148,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
149,2012,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,149,1,149,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
150,2012,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,150,1,150,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
151,2012,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,151,1,151,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
152,2012,3,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310,152,1,152,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
153,2012,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,153,1,153,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
154,2012,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,154,1,154,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
155,2012,3,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310,155,1,155,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
156,2012,3,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310,156,1,156,39,061,65732,01086225,3906165732,Reading,Reading city,25,C2,G4040, , , ,F,7483134.000000000000000,0.000000000000000,+39.2242280,-084.4333429
157,2012,4,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,157,1,157,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
158,2012,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,158,1,158,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
159,2012,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,159,1,159,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
160,2012,4,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310,160,1,160,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
161,2012,4,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310,161,1,161,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
162,2012,4,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310,162,1,162,39,061,65732,01086225,3906165732,Reading,Reading city,25,C2,G4040, , , ,F,7483134.000000000000000,0.000000000000000,+39.2242280,-084.4333429
163,2013,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,163,1,163,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
164,2013,1,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,164,1,164,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
165,2013,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,165,1,165,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
166,2013,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,166,1,166,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
167,2013,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,167,1,167,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
168,2013,1,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310,168,1,168,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
169,2013,1,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310,169,1,169,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
170,2013,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,170,1,170,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
171,2013,2,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,171,1,171,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
172,2013,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,172,1,172,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
173,2013,1,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310,173,1,173,39,061,65732,01086225,3906165732,Reading,Reading city,25,C2,G4040, , , ,F,7483134.000000000000000,0.000000000000000,+39.2242280,-084.4333429
174,2013,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,174,1,174,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
175,2013,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,175,1,175,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
176,2013,2,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310,176,1,176,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
177,2013,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,177,1,177,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
178,2013,2,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310,178,1,178,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
179,2013,3,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,179,1,179,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
180,2013,2,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310,180,1,180,39,061,65732,01086225,3906165732,Reading,Reading city,25,C2,G4040, , , ,F,7483134.000000000000000,0.000000000000000,+39.2242280,-084.4333429
181,2013,3,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,181,1,181,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
182,2013,3,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,182,1,182,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
183,2013,3,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,183,1,183,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
184,2013,4,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,184,1,184,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
185,2013,3,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310,185,1,185,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
186,2013,3,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310,186,1,186,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
187,2013,4,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,187,1,187,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
188,2013,3,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310,188,1,188,39,061,65732,01086225,3906165732,Reading,Reading city,25,C2,G4040, , , ,F,7483134.000000000000000,0.000000000000000,+39.2242280,-084.4333429
189,2013,4,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,189,1,189,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
190,2013,4,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,190,1,190,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
191,2013,4,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,191,1,191,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
192,2013,4,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310,192,1,192,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
193,2014,1,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,193,1,193,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
194,2013,4,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310,194,1,194,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
195,2014,1,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,195,1,195,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
196,2013,4,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310,196,1,196,39,061,65732,01086225,3906165732,Reading,Reading city,25,C2,G4040, , , ,F,7483134.000000000000000,0.000000000000000,+39.2242280,-084.4333429
197,2014,1,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,197,1,197,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
198,2014,1,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,198,1,198,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
199,2014,1,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,199,1,199,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
200,2014,1,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310,200,1,200,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
201,2014,2,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,201,1,201,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
202,2014,1,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310,202,1,202,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
203,2014,2,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,203,1,203,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
204,2014,1,316000989,2180 GALBRAITH RD,CINCINNATI,OH,45215,61,611310,204,1,204,39,061,65732,01086225,3906165732,Reading,Reading city,25,C2,G4040, , , ,F,7483134.000000000000000,0.000000000000000,+39.2242280,-084.4333429
205,2014,2,316000989,4200 CLERMONT COLLEGE DR,BATAVIA,OH,45103,25,611310,205,1,205,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
206,2014,2,310411980,5299 SPRING GROVE AVE,CINCINNATI,OH,45217,61,551114,206,1,206,39,061,69470,01086226,3906169470,St. Bernard,St. Bernard village,47,C2,G4040, , , ,F,4034431.000000000000000,31773.000000000000000,+39.1717286,-084.4940878
207,2014,2,316000989,2624 CLIFTON AVE,CINCINNATI,OH,45221,61,611310,207,1,207,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
208,2014,2,316000989,1981 JAMES E SAULS SR DR,BATAVIA,OH,45103,25,611310,208,1,208,39,025,04157,01085861,3902504157,Batavia,Batavia township,44,T1,G4040, , , ,A,102912129.000000000000000,4794356.000000000000000,+39.0633234,-084.1682386
209,2014,3,310411980,1 PROCTER & GAMBLE PLAZA,CINCINNATI,OH,45202,61,325611,209,1,209,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
210,2014,2,316000989,9555 PLAINFIELD RD,BLUE ASH,OH,45326,61,611310,210,1,210,39,061,07300,01086199,3906107300,Blue Ash,Blue Ash city,25,C2,G4040, , , ,F,19642568.000000000000000,49519.000000000000000,+39.2460550,-084.3868450
211,2014,3,316000989,234 GOODMAN STREET,CINCINNATI,OH,45219,61,622110,211,1,211,39,061,15000,01086201,3906115000,Cincinnati,Cincinnati city,25,C5,G4040, , , ,F,201594254.000000000000000,4434805.000000000000000,+39.1401830,-084.5058289
